2023-12-04 16:19:19 - Nombre: ricardo, IP: 192.168.6.48
2023-12-04 16:36:11 - Nombre: alex, IP: 192.168.6.48
2023-12-04 16:36:40 - Nombre: ismael, IP: 192.168.6.68
2023-12-04 16:37:18 - Nombre: alex, IP: 192.168.6.48
2023-12-04 16:52:09 - Nombre: ricardo, IP: 192.168.6.75
2023-12-04 16:54:27 - Nombre: alex, IP: 192.168.6.48
2023-12-04 16:57:57 - Nombre: ricardo, IP: 192.168.6.156
2023-12-04 16:57:57 - Nombre: ricardo, IP: 192.168.6.75
2023-12-04 16:58:39 - Nombre: profe, IP: 192.168.6.156
